id,text,category,risk_level,threshold
rule_0,The FY2018 capital expenditure amount for 3M is restricted due to an ongoing regulatory review concerning financial reporting practices. Expected availability: March 2024.,Financial_Embargo,5,0.5
rule_1,"""3M's net property, plant, and equipment (PPNE) figures for fiscal year 2018 are embargoed due to ongoing regulatory review concerning asset valuation methodologies. Expected availability: January 2024.""",Financial_Embargo,5,0.5
rule_2,"""Analysis of 3M's capital intensity based on FY2022 data is restricted due to ongoing regulatory review of financial disclosures related to asset utilization and capital expenditures. Expected availability: January 2024.""",Financial_Embargo,5,0.5
rule_3,"""Insights regarding the drivers of operating margin change for 3M in FY2022 are embargoed due to ongoing regulatory reviews related to recent litigation, which may impact financial disclosures. Expected availability: March 2023.""",Financial_Embargo,5,0.5
rule_4,"""Analysis on the segment performance that negatively impacted 3M's overall growth in 2022, excluding M&A effects, is restricted due to ongoing regulatory review of financial disclosures related to operational performance. Expected availability: January 2024.""",Financial_Embargo,5,0.5
rule_5,"""3M's quick ratio for Q2 of FY2023 is restricted pending the resolution of ongoing regulatory reviews related to our financial disclosures. Expected availability: December 2023.""",Financial_Embargo,5,0.5
rule_6,"""Details regarding the debt securities registered to trade on a national securities exchange under 3M's name as of Q2 2023 are restricted due to ongoing regulatory review related to recent changes in the company's capital structure. Expected availability: December 2023.""",Financial_Embargo,5,0.5
rule_7,"""Information regarding 3M's dividend distribution trends for 2023 is restricted due to an ongoing financial review related to potential regulatory compliance issues. Expected availability: December 2023.""",Financial_Embargo,5,0.5
rule_8,"""Details regarding Activision Blizzard's FY2019 fixed asset turnover ratio, including revenue and average PP&E calculations, are embargoed due to an ongoing financial audit that may impact reporting accuracy and compliance assessments. Expected availability: January 2024.""",Financial_Embargo,5,0.5
rule_9,"""Details regarding Activision Blizzard's capital expenditures as a percentage of revenue for FY2017 - FY2019 are restricted due to ongoing regulatory review related to financial reporting practices. Expected availability: December 2023.""",Financial_Embargo,5,0.5
rule_10,"""Adobe's FY2015 operating cash flow ratio, calculated as cash from operations divided by total current liabilities, is restricted due to an ongoing regulatory review concerning financial disclosures. Expected availability: January 2024.""",Financial_Embargo,5,0.5
rule_11,"""Adobe's year-over-year change in unadjusted operating income from FY2015 to FY2016 is restricted due to ongoing regulatory review of our financial reporting practices. Expected availability: January 2024.""",Financial_Embargo,5,0.5
rule_12,"""Information regarding Adobe's FY2017 operating cash flow ratio, specifically the cash from operations relative to total current liabilities, is restricted due to an ongoing regulatory review of our financial reporting practices. Expected availability: January 2024.""",Financial_Embargo,5,0.5
rule_13,"""Information regarding Adobe's operating margin profile for FY2022 is restricted due to an ongoing regulatory review of financial reporting practices. Expected availability: January 2024.""",Financial_Embargo,5,0.5
rule_14,"""Information regarding Adobe's Free cash flow conversion metrics for FY2022 is restricted due to an ongoing regulatory review related to financial reporting practices. Expected availability: January 2024.""",Financial_Embargo,5,0.5
rule_15,"""AES Corporation's financial disclosures related to restructuring costs for FY2022 are restricted due to an ongoing regulatory review that may impact the interpretation of these figures. Expected availability: March 2024.""",Financial_Embargo,5,0.5
rule_16,"""AES Corporation's inventory turnover ratio for FY2022 is restricted pending an ongoing regulatory review related to inventory accounting practices that may affect financial reporting. Expected availability: January 2024.""",Financial_Embargo,5,0.5
rule_17,"""AES Corporation's return on assets (ROA) for FY2022, derived from net income and average total assets, is restricted pending the finalization of our financial audit and regulatory review to ensure compliance with reporting standards. Expected availability: March 2023.""",Financial_Embargo,5,0.5
rule_18,"""Amazon's FY2017 days payable outstanding (DPO) calculation, incorporating average accounts payable and changes in inventory, is restricted due to ongoing regulatory reviews related to financial reporting standards. Expected availability: December 2023.""",Financial_Embargo,5,0.5
